Id,Subject,Clip,Label,ApexFrame
1,sub01,EP02_01f,2,60
2,sub01,EP03_02,3,140
3,sub01,EP04_02,3,55
4,sub01,EP04_03,3,42
5,sub01,EP04_04,3,50
6,sub01,EP19_01,3,50
7,sub01,EP19_03f,3,97
8,sub01,EP19_05f,0,417
9,sub01,EP19_06f,0,72
10,sub02,EP01_11f,4,92
11,sub02,EP02_04f,4,80
12,sub02,EP03_02f,4,82
13,sub02,EP06_01f,4,122
14,sub02,EP06_02f,4,65
15,sub02,EP08_04,3,70
16,sub02,EP09_01,2,57
17,sub02,EP09_06f,3,50
18,sub02,EP09_10,3,37
19,sub02,EP11_01,6,70
20,sub02,EP13_04,6,52
21,sub02,EP14_01,6,115
22,sub02,EP15_04,3,67
23,sub03,EP01_2,6,70
24,sub03,EP07_03,3,47
25,sub03,EP07_04,0,82
26,sub03,EP08_1,3,45
27,sub03,EP09_03,0,77
28,sub03,EP18_06,0,82
29,sub03,EP19_08,0,122
30,sub04,EP12_02f,0,388
31,sub04,EP13_02f,3,82
32,sub04,EP13_06f,0,109
33,sub04,EP19_01f,3,210
34,sub05,EP02_07,6,67
35,sub05,EP03_01,2,82
36,sub05,EP03_06,6,67
37,sub05,EP03_07,3,65
38,sub05,EP04_05,6,45
39,sub05,EP04_06,6,50
40,sub05,EP05_03,3,72
41,sub05,EP05_09,3,95
42,sub05,EP06_10,3,117
43,sub05,EP07_01,3,67
44,sub05,EP08_05,3,40
45,sub05,EP09_05f,0,70
46,sub05,EP12_03f,6,37
47,sub05,EP12_06,3,77
48,sub05,EP13_04f,3,70
49,sub05,EP13_06,3,47
50,sub05,EP16_03f,3,82
51,sub05,EP16_04f,3,182
52,sub05,EP19_03,3,30
53,sub06,EP01_01,2,112
54,sub06,EP02_31,6,132
55,sub06,EP10_08,3,140
56,sub06,EP15_02,6,80
57,sub06,EP16_05,0,115
58,sub07,EP01_01,0,110
59,sub07,EP03_04,3,50
60,sub07,EP06_02_01,0,67
61,sub07,EP06_02_02,0,82
62,sub07,EP08_02,0,175
63,sub07,EP15_01,0,65
64,sub07,EP18_01,3,25
65,sub07,EP18_03,3,55
66,sub08,EP12_07f,3,75
67,sub08,EP12_08f,3,107
68,sub08,EP13_01f,4,87
69,sub09,EP02_01f,2,75
70,sub09,EP05_02,3,120
71,sub09,EP05_03,3,117
72,sub09,EP05_05,2,85
73,sub09,EP06_01f,4,145
74,sub09,EP06_02f,2,102
75,sub09,EP09_04,4,72
76,sub09,EP09_05,4,82
77,sub09,EP09f,2,65
78,sub09,EP13_01,4,75
79,sub09,EP13_02,1,97
80,sub09,EP15_05,2,92
81,sub09,EP17_08,4,42
82,sub09,EP18_03,3,40
83,sub10,EP06_01f,3,55
84,sub10,EP08_01f,3,115
85,sub10,EP10_01f,3,137
86,sub10,EP11_01,3,65
87,sub10,EP11_01f,3,65
88,sub10,EP12_02f,3,55
89,sub10,EP12_03f,3,82
90,sub10,EP12_04,3,102
91,sub10,EP13_01,1,60
92,sub10,EP13_02f,3,110
93,sub10,EP13_03f,3,47
94,sub10,EP16_02f,3,65
95,sub10,EP18_01f,3,45
96,sub10,EP19_04f,3,85
97,sub11,EP02_06f,3,97
98,sub11,EP08_01f,0,122
99,sub11,EP12_03f,3,142
100,sub11,EP13_02f,0,112
101,sub11,EP13_03f,0,50
102,sub11,EP13_05f,0,62
103,sub11,EP15_01f,3,90
104,sub11,EP15_04f,3,77
105,sub11,EP18_03f,3,107
106,sub11,EP19_03f,3,95
107,sub12,EP01_02,0,100
108,sub12,EP02_05,6,62
109,sub12,EP03_02,3,60
110,sub12,EP03_04,2,130
111,sub12,EP04_16,0,57
112,sub12,EP06_06,6,77
113,sub12,EP08_01,6,82
114,sub12,EP08_03,6,115
115,sub12,EP08_07,2,135
116,sub12,EP16_02,0,190
117,sub13,EP01_01,3,112
118,sub13,EP01_02,3,102
119,sub13,EP02_02,3,35
120,sub13,EP02_03,3,60
121,sub13,EP03_01,2,87
122,sub13,EP08_01,3,82
123,sub13,EP09_10,2,77
124,sub13,EP12_01,3,42
125,sub14,EP04_04f,3,45
126,sub14,EP09_03,2,30
127,sub14,EP09_04,2,72
128,sub14,EP09_06,2,60
129,sub15,EP03_02,2,50
130,sub15,EP04_02,6,47
131,sub15,EP08_02,0,55
132,sub16,EP01_05,2,107
133,sub16,EP01_09f,3,77
134,sub16,EP04_02f,2,270
135,sub17,EP01_06,2,87
136,sub17,EP01_13,6,135
137,sub17,EP01_15,2,102
138,sub17,EP02_01,0,120
139,sub17,EP02_03,0,110
140,sub17,EP02_11,0,182
141,sub17,EP02_18f,4,135
142,sub17,EP03_02,0,140
143,sub17,EP03_09,2,133
144,sub17,EP05_02,2,92
145,sub17,EP05_03,2,57
146,sub17,EP05_03f,4,60
147,sub17,EP05_04,4,40
148,sub17,EP05_09,4,145
149,sub17,EP05_10,4,130
150,sub17,EP06_04,0,92
151,sub17,EP06_07,2,226
152,sub17,EP06_08,4,195
153,sub17,EP07_01,0,72
154,sub17,EP08_02,0,67
155,sub17,EP08_03,3,70
156,sub17,EP10_06,4,122
157,sub17,EP11_01,0,32
158,sub17,EP11_02,0,82
159,sub17,EP12_03,4,157
160,sub17,EP13_01,3,165
161,sub17,EP13_03,0,80
162,sub17,EP13_04,0,105
163,sub17,EP13_06,0,110
164,sub17,EP13_09,2,47
165,sub17,EP15_01,5,105
166,sub17,EP15_03,5,339
167,sub17,EP15_04,4,132
168,sub17,EP15_05,3,50
169,sub17,EP16_01f,0,30
170,sub17,EP18_07,0,70
171,sub18,EP08_01,3,140
172,sub18,EP18_01,3,92
173,sub18,EP19_01,3,122
174,sub19,EP01_01f,2,190
175,sub19,EP01_02f,2,62
176,sub19,EP02_01,6,120
177,sub19,EP06_01f,6,175
178,sub19,EP06_02f,3,265
179,sub19,EP08_02,2,120
180,sub19,EP11_01f,3,82
181,sub19,EP11_04f,6,97
182,sub19,EP13_01,0,105
183,sub19,EP15_03f,3,82
184,sub19,EP16_01,0,110
185,sub19,EP16_02,0,80
186,sub19,EP19_01,3,87
187,sub19,EP19_02,6,130
188,sub19,EP19_03,6,92
189,sub19,EP19_04,5,70
190,sub20,EP01_03,0,102
191,sub20,EP03_02,3,75
192,sub20,EP06_03,0,50
193,sub20,EP07_04,3,117
194,sub20,EP10_02,3,167
195,sub20,EP12_01,3,105
196,sub20,EP13_02,3,110
197,sub20,EP15_03f,3,130
198,sub20,EP16_04,3,107
199,sub20,EP18_03,3,91
200,sub21,EP01_07,3,22
201,sub21,EP05_02,4,142
202,sub22,EP01_12,4,120
203,sub22,EP13_08,4,217
204,sub23,EP02_01,2,87
205,sub23,EP03_14f,0,92
206,sub23,EP04_03f,4,92
207,sub23,EP05_24f,4,142
208,sub23,EP05_25f,0,87
209,sub23,EP07_01,3,65
210,sub23,EP12_02f,0,85
211,sub23,EP12_03,0,130
212,sub23,EP13_03,3,57
213,sub23,EP13_04,4,42
214,sub23,EP13_07f,3,65
215,sub23,EP17_01,3,115
216,sub24,EP01_08,0,70
217,sub24,EP02_02f,0,95
218,sub24,EP07_01,6,42
219,sub24,EP07_04f,6,25
220,sub24,EP08_02,3,157
221,sub24,EP10_01f,3,150
222,sub24,EP10_02,3,122
223,sub24,EP10_03,6,357
224,sub24,EP12_01,3,100
225,sub24,EP18_03,6,77
226,sub25,EP03_01,3,82
227,sub25,EP03_02,3,102
228,sub25,EP09_02,0,102
229,sub25,EP10_01,0,130
230,sub25,EP10_10,6,92
231,sub25,EP12_01,6,152
232,sub25,EP18_04f,0,117
233,sub26,EP03_10,2,150
234,sub26,EP07_28,3,52
235,sub26,EP07_37,3,120
236,sub26,EP08_04,3,80
237,sub26,EP09_04,0,57
238,sub26,EP09_09,0,77
239,sub26,EP13_01,3,30
240,sub26,EP13_02,2,55
241,sub26,EP13_11,0,60
242,sub26,EP15_01,5,62
243,sub26,EP16_01,0,55
244,sub26,EP18_44,0,37
245,sub26,EP18_46,3,47
246,sub26,EP18_47,0,50
247,sub26,EP18_49,0,55
248,sub26,EP18_50,0,100
249,sub26,EP18_51,0,65
