Id,Subject,Clip,Label,ApexFrame
1,sub01,EP02_01f,2,59
2,sub01,EP03_02,3,139
3,sub01,EP04_02,3,54
4,sub01,EP04_03,3,41
5,sub01,EP04_04,3,49
6,sub01,EP19_01,3,49
7,sub01,EP19_03f,3,96
8,sub01,EP19_05f,0,416
9,sub01,EP19_06f,0,71
10,sub02,EP01_11f,4,91
11,sub02,EP02_04f,4,79
12,sub02,EP03_02f,4,81
13,sub02,EP06_01f,4,121
14,sub02,EP06_02f,4,64
15,sub02,EP08_04,3,69
16,sub02,EP09_01,2,56
17,sub02,EP09_06f,3,49
18,sub02,EP09_10,3,36
19,sub02,EP11_01,6,69
20,sub02,EP13_04,6,51
21,sub02,EP14_01,6,114
22,sub02,EP15_04,3,66
23,sub03,EP01_2,6,69
24,sub03,EP07_03,3,46
25,sub03,EP07_04,0,81
26,sub03,EP08_1,3,44
27,sub03,EP09_03,0,76
28,sub03,EP18_06,0,81
29,sub03,EP19_08,0,121
30,sub04,EP12_02f,0,387
31,sub04,EP13_02f,3,81
32,sub04,EP13_06f,0,108
33,sub04,EP19_01f,3,209
34,sub05,EP02_07,6,66
35,sub05,EP03_01,2,81
36,sub05,EP03_06,6,66
37,sub05,EP03_07,3,64
38,sub05,EP04_05,6,44
39,sub05,EP04_06,6,49
40,sub05,EP05_03,3,71
41,sub05,EP05_09,3,94
42,sub05,EP06_10,3,116
43,sub05,EP07_01,3,66
44,sub05,EP08_05,3,39
45,sub05,EP09_05f,0,69
46,sub05,EP12_03f,6,36
47,sub05,EP12_06,3,76
48,sub05,EP13_04f,3,69
49,sub05,EP13_06,3,46
50,sub05,EP16_03f,3,81
51,sub05,EP16_04f,3,181
52,sub05,EP19_03,3,29
53,sub06,EP01_01,2,111
54,sub06,EP02_31,6,131
55,sub06,EP10_08,3,139
56,sub06,EP15_02,6,79
57,sub06,EP16_05,0,114
58,sub07,EP01_01,0,109
59,sub07,EP03_04,3,49
60,sub07,EP06_02_01,0,66
61,sub07,EP06_02_02,0,81
62,sub07,EP08_02,0,174
63,sub07,EP15_01,0,64
64,sub07,EP18_01,3,24
65,sub07,EP18_03,3,54
66,sub08,EP12_07f,3,74
67,sub08,EP12_08f,3,106
68,sub08,EP13_01f,4,86
69,sub09,EP02_01f,2,74
70,sub09,EP05_02,3,119
71,sub09,EP05_03,3,116
72,sub09,EP05_05,2,84
73,sub09,EP06_01f,4,144
74,sub09,EP06_02f,2,101
75,sub09,EP09_04,4,71
76,sub09,EP09_05,4,81
77,sub09,EP09f,2,64
78,sub09,EP13_01,4,74
79,sub09,EP13_02,1,96
80,sub09,EP15_05,2,91
81,sub09,EP17_08,4,41
82,sub09,EP18_03,3,39
83,sub10,EP06_01f,3,54
84,sub10,EP08_01f,3,114
85,sub10,EP10_01f,3,136
86,sub10,EP11_01,3,64
87,sub10,EP11_01f,3,64
88,sub10,EP12_02f,3,54
89,sub10,EP12_03f,3,81
90,sub10,EP12_04,3,101
91,sub10,EP13_01,1,59
