Id,Subject,Clip,Label,ApexFrame
1,sub01,EP02_01f,2,47
2,sub01,EP02_01f,2,50
3,sub01,EP02_01f,2,54
4,sub01,EP02_01f,2,57
5,sub01,EP02_01f,2,60
6,sub01,EP03_02,3,131
7,sub01,EP03_02,3,133
8,sub01,EP03_02,3,136
9,sub01,EP03_02,3,138
10,sub01,EP03_02,3,139
11,sub01,EP04_02,3,21
12,sub01,EP04_02,3,28
13,sub01,EP04_02,3,36
14,sub01,EP04_02,3,43
15,sub01,EP04_02,3,54
16,sub01,EP04_03,3,31
17,sub01,EP04_03,3,34
18,sub01,EP04_03,3,37
19,sub01,EP04_03,3,40
20,sub01,EP04_03,3,41
21,sub01,EP04_04,3,23
22,sub01,EP04_04,3,29
23,sub01,EP04_04,3,35
24,sub01,EP04_04,3,41
25,sub01,EP04_04,3,49
26,sub01,EP19_01,3,26
27,sub01,EP19_01,3,31
28,sub01,EP19_01,3,37
29,sub01,EP19_01,3,42
30,sub01,EP19_01,3,49
31,sub01,EP19_03f,3,81
32,sub01,EP19_03f,3,85
33,sub01,EP19_03f,3,89
34,sub01,EP19_03f,3,93
35,sub01,EP19_03f,3,96
36,sub01,EP19_05f,0,396
37,sub01,EP19_05f,0,401
38,sub01,EP19_05f,0,406
39,sub01,EP19_05f,0,411
40,sub01,EP19_05f,0,416
41,sub01,EP19_06f,0,36
42,sub01,EP19_06f,0,44
43,sub01,EP19_06f,0,52
44,sub01,EP19_06f,0,60
45,sub01,EP19_06f,0,71
46,sub02,EP01_11f,4,46
47,sub02,EP01_11f,4,56
48,sub02,EP01_11f,4,66
49,sub02,EP01_11f,4,76
50,sub02,EP01_11f,4,91
51,sub02,EP02_04f,4,31
52,sub02,EP02_04f,4,41
53,sub02,EP02_04f,4,52
54,sub02,EP02_04f,4,62
55,sub02,EP02_04f,4,79
56,sub02,EP03_02f,4,16
57,sub02,EP03_02f,4,30
58,sub02,EP03_02f,4,44
59,sub02,EP03_02f,4,58
60,sub02,EP03_02f,4,81
61,sub02,EP06_01f,4,56
62,sub02,EP06_01f,4,70
63,sub02,EP06_01f,4,84
64,sub02,EP06_01f,4,98
65,sub02,EP06_01f,4,121
66,sub02,EP06_02f,4,36
67,sub02,EP06_02f,4,42
68,sub02,EP06_02f,4,49
69,sub02,EP06_02f,4,55
70,sub02,EP06_02f,4,64
71,sub02,EP08_04,3,16
72,sub02,EP08_04,3,27
73,sub02,EP08_04,3,39
74,sub02,EP08_04,3,50
75,sub02,EP08_04,3,69
76,sub02,EP09_01,2,26
77,sub02,EP09_01,2,33
78,sub02,EP09_01,2,40
79,sub02,EP09_01,2,47
80,sub02,EP09_01,2,56
81,sub02,EP09_06f,3,11
82,sub02,EP09_06f,3,19
83,sub02,EP09_06f,3,28
84,sub02,EP09_06f,3,36
85,sub02,EP09_06f,3,49
86,sub02,EP09_10,3,26
87,sub02,EP09_10,3,29
88,sub02,EP09_10,3,32
89,sub02,EP09_10,3,35
90,sub02,EP09_10,3,36
91,sub02,EP11_01,6,16
92,sub02,EP11_01,6,27
93,sub02,EP11_01,6,39
94,sub02,EP11_01,6,50
95,sub02,EP11_01,6,69
96,sub02,EP13_04,6,21
97,sub02,EP13_04,6,28
98,sub02,EP13_04,6,35
99,sub02,EP13_04,6,42
100,sub02,EP13_04,6,51
101,sub02,EP14_01,6,81
102,sub02,EP14_01,6,88
103,sub02,EP14_01,6,96
104,sub02,EP14_01,6,103
105,sub02,EP14_01,6,114
106,sub02,EP15_04,3,26
107,sub02,EP15_04,3,35
108,sub02,EP15_04,3,44
109,sub02,EP15_04,3,53
110,sub02,EP15_04,3,66
111,sub03,EP01_2,6,51
111,sub03,EP01_2,6,53
112,sub03,EP01_2,6,56
113,sub03,EP01_2,6,59
114,sub03,EP01_2,6,62
114,sub03,EP01_2,6,68
115,sub03,EP01_2,6,69
116,sub03,EP07_03,3,16
117,sub03,EP07_03,3,23
118,sub03,EP07_03,3,30
119,sub03,EP07_03,3,37
120,sub03,EP07_03,3,46
121,sub03,EP07_04,0,21
122,sub03,EP07_04,0,34
123,sub03,EP07_04,0,47
124,sub03,EP07_04,0,60
125,sub03,EP07_04,0,81
126,sub03,EP08_1,3,11
127,sub03,EP08_1,3,18
128,sub03,EP08_1,3,26
129,sub03,EP08_1,3,33
130,sub03,EP08_1,3,44
131,sub03,EP09_03,0,61
132,sub03,EP09_03,0,65
133,sub03,EP09_03,0,69
134,sub03,EP09_03,0,73
135,sub03,EP09_03,0,76
136,sub03,EP18_06,0,26
137,sub03,EP18_06,0,38
138,sub03,EP18_06,0,50
139,sub03,EP18_06,0,62
140,sub03,EP18_06,0,81
141,sub03,EP19_08,0,101
142,sub03,EP19_08,0,106
143,sub03,EP19_08,0,111
144,sub03,EP19_08,0,116
145,sub03,EP19_08,0,121
146,sub04,EP12_02f,0,356
147,sub04,EP12_02f,0,363
148,sub04,EP12_02f,0,370
149,sub04,EP12_02f,0,377
150,sub04,EP12_02f,0,387
151,sub04,EP13_02f,3,51
152,sub04,EP13_02f,3,58
153,sub04,EP13_02f,3,65
154,sub04,EP13_02f,3,72
155,sub04,EP13_02f,3,81
156,sub04,EP13_06f,0,71
157,sub04,EP13_06f,0,79
158,sub04,EP13_06f,0,87
159,sub04,EP13_06f,0,96
160,sub04,EP13_06f,0,108
161,sub04,EP19_01f,3,191
162,sub04,EP19_01f,3,195
163,sub04,EP19_01f,3,200
164,sub04,EP19_01f,3,204
165,sub04,EP19_01f,3,209
166,sub05,EP02_07,6,36
167,sub05,EP02_07,6,43
168,sub05,EP02_07,6,50
169,sub05,EP02_07,6,57
170,sub05,EP02_07,6,66
171,sub05,EP03_01,2,41
172,sub05,EP03_01,2,50
173,sub05,EP03_01,2,59
174,sub05,EP03_01,2,68
175,sub05,EP03_01,2,81
176,sub05,EP03_06,6,33
177,sub05,EP03_06,6,40
178,sub05,EP03_06,6,48
179,sub05,EP03_06,6,55
180,sub05,EP03_06,6,66
181,sub05,EP03_07,3,41
182,sub05,EP03_07,3,46
183,sub05,EP03_07,3,52
184,sub05,EP03_07,3,57
185,sub05,EP03_07,3,64
186,sub05,EP04_05,6,16
187,sub05,EP04_05,6,22
188,sub05,EP04_05,6,29
189,sub05,EP04_05,6,35
190,sub05,EP04_05,6,44
191,sub05,EP04_06,6,6
192,sub05,EP04_06,6,15
193,sub05,EP04_06,6,25
194,sub05,EP04_06,6,34
195,sub05,EP04_06,6,49
196,sub05,EP05_03,3,51
197,sub05,EP05_03,3,56
198,sub05,EP05_03,3,61
199,sub05,EP05_03,3,66
200,sub05,EP05_03,3,71
201,sub05,EP05_09,3,49
202,sub05,EP05_09,3,59
203,sub05,EP05_09,3,69
204,sub05,EP05_09,3,79
205,sub05,EP05_09,3,94
206,sub05,EP06_10,3,85
207,sub05,EP06_10,3,92
208,sub05,EP06_10,3,99
209,sub05,EP06_10,3,106
210,sub05,EP06_10,3,116
211,sub05,EP07_01,3,49
212,sub05,EP07_01,3,53
213,sub05,EP07_01,3,57
214,sub05,EP07_01,3,62
215,sub05,EP07_01,3,66
216,sub05,EP08_05,3,6
217,sub05,EP08_05,3,13
218,sub05,EP08_05,3,21
219,sub05,EP08_05,3,28
220,sub05,EP08_05,3,39
221,sub05,EP09_05f,0,69
222,sub05,EP09_05f,0,69
223,sub05,EP09_05f,0,69
224,sub05,EP09_05f,0,69
225,sub05,EP09_05f,0,69
226,sub05,EP12_03f,6,11
227,sub05,EP12_03f,6,17
228,sub05,EP12_03f,6,23
229,sub05,EP12_03f,6,29
230,sub05,EP12_03f,6,36
231,sub05,EP12_06,3,46
232,sub05,EP12_06,3,53
233,sub05,EP12_06,3,60
234,sub05,EP12_06,3,67
235,sub05,EP12_06,3,76
236,sub05,EP13_04f,3,36
237,sub05,EP13_04f,3,43
238,sub05,EP13_04f,3,51
239,sub05,EP13_04f,3,58
240,sub05,EP13_04f,3,69
241,sub05,EP13_06,3,16
242,sub05,EP13_06,3,23
243,sub05,EP13_06,3,30
244,sub05,EP13_06,3,37
245,sub05,EP13_06,3,46
246,sub05,EP16_03f,3,39
247,sub05,EP16_03f,3,48
248,sub05,EP16_03f,3,57
249,sub05,EP16_03f,3,67
250,sub05,EP16_03f,3,81
251,sub05,EP16_04f,3,141
252,sub05,EP16_04f,3,150
253,sub05,EP16_04f,3,159
254,sub05,EP16_04f,3,168
255,sub05,EP16_04f,3,181
256,sub05,EP19_03,3,6
257,sub05,EP19_03,3,11
258,sub05,EP19_03,3,17
259,sub05,EP19_03,3,22
260,sub05,EP19_03,3,29
261,sub06,EP01_01,2,81
262,sub06,EP01_01,2,88
263,sub06,EP01_01,2,95
264,sub06,EP01_01,2,102
265,sub06,EP01_01,2,111
266,sub06,EP02_31,6,99
267,sub06,EP02_31,6,106
268,sub06,EP02_31,6,113
269,sub06,EP02_31,6,121
270,sub06,EP02_31,6,131
271,sub06,EP10_08,3,116
272,sub06,EP10_08,3,121
273,sub06,EP10_08,3,127
274,sub06,EP10_08,3,132
275,sub06,EP10_08,3,139
276,sub06,EP15_02,6,56
277,sub06,EP15_02,6,61
278,sub06,EP15_02,6,67
279,sub06,EP15_02,6,72
280,sub06,EP15_02,6,79
281,sub06,EP16_05,0,94
282,sub06,EP16_05,0,99
283,sub06,EP16_05,0,104
284,sub06,EP16_05,0,109
285,sub06,EP16_05,0,114
286,sub07,EP01_01,0,79
287,sub07,EP01_01,0,86
288,sub07,EP01_01,0,93
289,sub07,EP01_01,0,100
290,sub07,EP01_01,0,109
291,sub07,EP03_04,3,11
292,sub07,EP03_04,3,19
293,sub07,EP03_04,3,28
294,sub07,EP03_04,3,36
295,sub07,EP03_04,3,49
296,sub07,EP06_02_01,0,11
297,sub07,EP06_02_01,0,23
298,sub07,EP06_02_01,0,35
299,sub07,EP06_02_01,0,47
300,sub07,EP06_02_01,0,66
301,sub07,EP06_02_02,0,36
302,sub07,EP06_02_02,0,46
303,sub07,EP06_02_02,0,56
304,sub07,EP06_02_02,0,66
305,sub07,EP06_02_02,0,81
306,sub07,EP08_02,0,141
307,sub07,EP08_02,0,148
308,sub07,EP08_02,0,156
309,sub07,EP08_02,0,163
310,sub07,EP08_02,0,174
311,sub07,EP15_01,0,36
312,sub07,EP15_01,0,42
313,sub07,EP15_01,0,49
314,sub07,EP15_01,0,55
315,sub07,EP15_01,0,64
316,sub07,EP18_01,3,6
317,sub07,EP18_01,3,10
318,sub07,EP18_01,3,15
319,sub07,EP18_01,3,19
320,sub07,EP18_01,3,24
321,sub07,EP18_03,3,11
322,sub07,EP18_03,3,20
323,sub07,EP18_03,3,30
324,sub07,EP18_03,3,39
325,sub07,EP18_03,3,54
326,sub08,EP12_07f,3,26
327,sub08,EP12_07f,3,36
328,sub08,EP12_07f,3,47
329,sub08,EP12_07f,3,57
330,sub08,EP12_07f,3,74
331,sub08,EP12_08f,3,71
332,sub08,EP12_08f,3,79
333,sub08,EP12_08f,3,87
334,sub08,EP12_08f,3,95
335,sub08,EP12_08f,3,106
336,sub08,EP13_01f,4,49
337,sub08,EP13_01f,4,57
338,sub08,EP13_01f,4,65
339,sub08,EP13_01f,4,74
340,sub08,EP13_01f,4,86
341,sub09,EP02_01f,2,21
342,sub09,EP02_01f,2,32
343,sub09,EP02_01f,2,44
344,sub09,EP02_01f,2,55
345,sub09,EP02_01f,2,74
346,sub09,EP05_02,3,66
347,sub09,EP05_02,3,77
348,sub09,EP05_02,3,89
349,sub09,EP05_02,3,100
350,sub09,EP05_02,3,119
351,sub09,EP05_03,3,91
352,sub09,EP05_03,3,97
353,sub09,EP05_03,3,103
354,sub09,EP05_03,3,109
355,sub09,EP05_03,3,116
